,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,waddan,29.16,16.14,89.15,16,29,12.12,LY,1590600195
364,wichian buri,15.66,101.11,82.31,68,9,3.71,TH,1590600196
365,misratah,32.38,15.09,70.45,66,1,17.18,LY,1590600196
366,dzaoudzi,-12.79,45.27,77.0,78,0,3.36,YT,1590600197
367,barranca,-10.75,-77.77,71.35,68,15,9.35,PE,1590600197
368,isoka,-10.16,32.63,66.99,60,37,1.07,ZM,1590600198
369,boqueirao,-7.5,-36.13,86.0,62,40,6.93,BR,1590600198
370,dukat,62.55,155.55,21.07,96,0,5.64,RU,1590600199
371,cleethorpes,53.56,-0.03,61.0,82,16,10.29,GB,1590600200
372,ponazyrevo,58.36,46.31,48.02,97,96,4.99,RU,1590600201
373,shebalino,51.29,85.68,38.48,85,35,3.42,RU,1590600201
374,kharitonovo,61.4,47.5,49.5,93,100,3.47,RU,1590600202
375,katherine,-14.47,132.27,66.2,63,65,8.05,AU,1590600202
376,goderich,43.75,-81.72,82.0,74,98,3.0,CA,1590600202
377,umm kaddadah,13.6,26.69,95.18,9,64,0.81,SD,1590600203
378,trat,12.5,102.5,79.02,87,94,1.81,TH,1590600203
